,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
kappa,88.186,14.48,61.737,115.446,0.132,0.146,11686.0,7540.0,1.0
Intercept,-2.091,0.357,-2.637,-1.48,0.008,0.018,2719.0,2174.0,1.0
LearningRate[LR0001],-0.286,0.167,-0.597,0.032,0.002,0.001,5922.0,7488.0,1.0
LearningRate[LateDecayLR],-0.233,0.167,-0.557,0.072,0.002,0.002,5773.0,7715.0,1.0
Climate[Hot],-0.173,0.254,-0.576,0.224,0.004,0.018,5014.0,3746.0,1.0
Climate[Mix],-0.162,0.263,-0.549,0.25,0.005,0.024,4631.0,4135.0,1.0
"LearningRate:Climate[LR0001, Hot]",0.305,0.236,-0.125,0.764,0.003,0.002,6511.0,8189.0,1.0
"LearningRate:Climate[LR0001, Mix]",-0.01,0.244,-0.471,0.441,0.003,0.002,5946.0,8260.0,1.0
"LearningRate:Climate[LateDecayLR, Hot]",0.477,0.232,0.031,0.908,0.003,0.002,6430.0,7756.0,1.0
"LearningRate:Climate[LateDecayLR, Mix]",0.174,0.237,-0.261,0.623,0.003,0.002,5669.0,7319.0,1.0
1|PolicySeed_sigma,0.45,0.407,0.095,1.002,0.01,0.031,2269.0,2404.0,1.0
1|Climate:EvalSeed_sigma,0.103,0.189,0.0,0.293,0.005,0.025,2768.0,1902.0,1.0
1|PolicySeed[42],-0.127,0.303,-0.643,0.339,0.007,0.016,2801.0,2149.0,1.0
1|PolicySeed[88],0.015,0.299,-0.504,0.473,0.007,0.015,2872.0,2186.0,1.0
1|PolicySeed[133],0.173,0.297,-0.321,0.657,0.007,0.016,3010.0,2055.0,1.0
1|PolicySeed[151],-0.478,0.319,-1.026,-0.019,0.008,0.016,2755.0,2262.0,1.0
1|PolicySeed[198],-0.164,0.305,-0.678,0.308,0.007,0.016,2861.0,2173.0,1.0
1|Climate:EvalSeed[Cool:133],-0.016,0.175,-0.223,0.193,0.004,0.023,6487.0,3057.0,1.0
1|Climate:EvalSeed[Cool:212],-0.016,0.175,-0.234,0.188,0.004,0.024,6718.0,3203.0,1.0
1|Climate:EvalSeed[Hot:133],-0.009,0.143,-0.224,0.185,0.002,0.014,8356.0,4603.0,1.0
1|Climate:EvalSeed[Hot:212],-0.01,0.142,-0.208,0.203,0.002,0.014,8118.0,4487.0,1.0
1|Climate:EvalSeed[Mix:133],-0.015,0.141,-0.233,0.171,0.003,0.015,7213.0,2832.0,1.0
1|Climate:EvalSeed[Mix:212],-0.007,0.139,-0.211,0.196,0.003,0.015,7858.0,3236.0,1.0
