,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
sigma,0.489,0.04,0.413,0.562,0.0,0.0,8630.0,7570.0,1.0
Intercept,-0.203,0.266,-0.723,0.265,0.004,0.005,4084.0,5166.0,1.0
LearningRate[LR0001],-0.096,0.221,-0.509,0.324,0.003,0.002,4520.0,6165.0,1.0
LearningRate[LateDecayLR],-0.01,0.22,-0.435,0.396,0.003,0.002,4916.0,7092.0,1.0
Climate[Hot],-0.621,0.284,-1.138,-0.106,0.004,0.007,4441.0,5384.0,1.0
Climate[Mix],1.636,0.285,1.122,2.175,0.004,0.006,4944.0,5012.0,1.0
"LearningRate:Climate[LR0001, Hot]",-0.078,0.31,-0.658,0.514,0.005,0.003,4724.0,7224.0,1.0
"LearningRate:Climate[LR0001, Mix]",-0.088,0.313,-0.681,0.494,0.004,0.003,5173.0,7062.0,1.0
"LearningRate:Climate[LateDecayLR, Hot]",-0.004,0.309,-0.569,0.582,0.004,0.003,5180.0,7297.0,1.0
"LearningRate:Climate[LateDecayLR, Mix]",-0.695,0.312,-1.286,-0.108,0.004,0.003,5750.0,7077.0,1.0
1|PolicySeed_sigma,0.347,0.242,0.05,0.747,0.004,0.009,2792.0,4470.0,1.0
1|Climate:EvalSeed_sigma,0.123,0.152,0.0,0.348,0.003,0.008,3221.0,2834.0,1.0
1|PolicySeed[42],0.112,0.2,-0.248,0.499,0.003,0.004,4976.0,5985.0,1.0
1|PolicySeed[88],-0.341,0.21,-0.738,0.029,0.003,0.003,4546.0,5384.0,1.0
1|PolicySeed[133],0.008,0.199,-0.364,0.389,0.003,0.004,4847.0,5992.0,1.0
1|PolicySeed[151],0.026,0.198,-0.351,0.404,0.003,0.004,4610.0,5664.0,1.0
1|PolicySeed[198],0.182,0.201,-0.178,0.576,0.003,0.004,4579.0,5910.0,1.0
1|Climate:EvalSeed[Cool:133],-0.005,0.14,-0.234,0.27,0.002,0.006,7552.0,5654.0,1.0
1|Climate:EvalSeed[Cool:212],0.0,0.139,-0.252,0.259,0.002,0.006,7927.0,5772.0,1.0
1|Climate:EvalSeed[Hot:133],0.004,0.142,-0.268,0.243,0.002,0.006,9270.0,5271.0,1.0
1|Climate:EvalSeed[Hot:212],-0.005,0.143,-0.268,0.239,0.002,0.006,8657.0,5844.0,1.0
1|Climate:EvalSeed[Mix:133],0.025,0.141,-0.22,0.296,0.002,0.005,8880.0,6244.0,1.0
1|Climate:EvalSeed[Mix:212],-0.026,0.141,-0.288,0.214,0.002,0.005,9504.0,6131.0,1.0
