,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
sigma,0.709,0.058,0.603,0.816,0.001,0.001,9435.0,8450.0,1.0
Intercept,0.946,0.338,0.33,1.543,0.006,0.008,3988.0,4702.0,1.0
LearningRate[LR0001],-0.532,0.319,-1.112,0.09,0.005,0.003,4528.0,6287.0,1.0
LearningRate[LateDecayLR],-0.176,0.323,-0.782,0.434,0.005,0.003,4641.0,5928.0,1.0
Climate[Hot],-0.498,0.425,-1.234,0.251,0.007,0.012,4183.0,4222.0,1.0
Climate[Mix],-1.941,0.423,-2.682,-1.18,0.007,0.015,4299.0,5217.0,1.0
"LearningRate:Climate[LR0001, Hot]",0.118,0.452,-0.71,0.993,0.006,0.004,4989.0,7655.0,1.0
"LearningRate:Climate[LR0001, Mix]",0.443,0.454,-0.427,1.271,0.006,0.004,5127.0,7243.0,1.0
"LearningRate:Climate[LateDecayLR, Hot]",-0.035,0.452,-0.866,0.816,0.006,0.004,5040.0,7240.0,1.0
"LearningRate:Climate[LateDecayLR, Mix]",0.372,0.456,-0.484,1.229,0.006,0.004,5116.0,7056.0,1.0
1|PolicySeed_sigma,0.306,0.258,0.0,0.692,0.005,0.012,3023.0,3450.0,1.0
1|Climate:EvalSeed_sigma,0.17,0.233,0.0,0.488,0.005,0.013,2947.0,2952.0,1.0
1|PolicySeed[42],0.221,0.23,-0.123,0.666,0.004,0.008,4597.0,6283.0,1.0
1|PolicySeed[88],0.073,0.21,-0.291,0.469,0.003,0.009,5398.0,5548.0,1.0
1|PolicySeed[133],-0.202,0.223,-0.631,0.145,0.003,0.007,5300.0,6759.0,1.0
1|PolicySeed[151],-0.071,0.21,-0.476,0.289,0.003,0.008,5943.0,6917.0,1.0
1|PolicySeed[198],-0.023,0.208,-0.412,0.355,0.003,0.008,5689.0,6288.0,1.0
1|Climate:EvalSeed[Cool:133],0.002,0.21,-0.347,0.349,0.003,0.011,6753.0,4604.0,1.0
1|Climate:EvalSeed[Cool:212],0.004,0.208,-0.343,0.351,0.003,0.011,6809.0,5124.0,1.0
1|Climate:EvalSeed[Hot:133],0.002,0.208,-0.34,0.361,0.003,0.01,8495.0,5989.0,1.0
1|Climate:EvalSeed[Hot:212],-0.0,0.21,-0.327,0.393,0.003,0.01,8366.0,6123.0,1.0
1|Climate:EvalSeed[Mix:133],0.004,0.207,-0.367,0.34,0.003,0.012,8349.0,5905.0,1.0
1|Climate:EvalSeed[Mix:212],-0.001,0.206,-0.321,0.38,0.003,0.011,8456.0,6066.0,1.0
