episode_num,mean_reward,std_reward,mean_reward_comfort_term,std_reward_comfort_term,mean_reward_energy_term,std_reward_energy_term,mean_abs_comfort_penalty,std_abs_comfort_penalty,mean_abs_energy_penalty,std_abs_energy_penalty,mean_temperature_violation,std_temperature_violation,mean_power_demand,std_power_demand,cumulative_power_demand,comfort_violation_time(%),length(timesteps),time_elapsed(hours),terminated,truncated
2,-0.18639256955441036,0.21231512141811684,-0.027830813327346687,0.08659138393471215,-0.15856175622706367,0.2089100314278057,-0.055661626654693375,0.1731827678694243,-3171.2351245412738,4178.200628556115,0.055661626654693375,0.1731827678694243,3171.2351245412738,4178.200628556115,111120078.76392624,14.001141552511415,35040,8760.0625,False,True
3,-0.18707033517958915,0.21269433247917205,-0.02794276897317792,0.08657771987116082,-0.15912756620641122,0.20918067572182567,-0.05588553794635584,0.17315543974232164,-3182.551324128224,4183.6135144365135,0.05588553794635584,0.17315543974232164,3182.551324128224,4183.6135144365135,111516598.39745298,14.001141552511415,35040,8760.0625,False,True
4,-0.18441138886969796,0.2093679500639791,-0.027583599230074005,0.08554238329278704,-0.156827789639624,0.20632706675232754,-0.05516719846014801,0.1710847665855741,-3136.5557927924797,4126.541335046551,0.05516719846014801,0.1710847665855741,3136.5557927924797,4126.541335046551,109904914.97944848,13.829908675799087,35040,8760.0625,False,True
5,-0.18512420527938037,0.2104439423036605,-0.028010304428773284,0.08648591318224016,-0.1571139008506071,0.20711400939928692,-0.05602060885754657,0.17297182636448033,-3142.2780170121428,4142.280187985739,0.05602060885754657,0.17297182636448033,3142.2780170121428,4142.280187985739,110105421.71610548,14.043949771689498,35040,8760.05,False,True
6,-0.18592242693397953,0.21205492860942976,-0.027300540597045193,0.08522847728189127,-0.15862188633693436,0.20915197229708132,-0.054601081194090385,0.17045695456378254,-3172.4377267386867,4183.039445941627,0.054601081194090385,0.17045695456378254,3172.4377267386867,4183.039445941627,111162217.94492358,13.98687214611872,35040,8760.0625,False,True
7,-0.18523771924524962,0.21198529085228796,-0.027502029917136465,0.0857757409437131,-0.15773568932811313,0.20865453590967148,-0.05500405983427293,0.1715514818874262,-3154.7137865622626,4173.090718193429,0.05500405983427293,0.1715514818874262,3154.7137865622626,4173.090718193429,110541171.08114168,14.021118721461187,35040,8760.0625,False,True
8,-0.1844874173616788,0.21042458456322588,-0.027441731396958838,0.08524779630260222,-0.15704568596472002,0.20729986662228533,-0.054883462793917676,0.17049559260520444,-3140.9137192943995,4145.997332445706,0.054883462793917676,0.17049559260520444,3140.9137192943995,4145.997332445706,110057616.72407576,13.82705479452055,35040,8760.0625,False,True
9,-0.18603916618774,0.21130426346161318,-0.027874963660251287,0.0863324850889476,-0.15816420252748872,0.20789627100755267,-0.055749927320502574,0.1726649701778952,-3163.2840505497743,4157.925420151054,0.055749927320502574,0.1726649701778952,3163.2840505497743,4157.925420151054,110841473.13126409,14.001141552511415,35040,8760.0625,False,True
10,-0.1848181921709477,0.21067377860374273,-0.0276616263801628,0.08569333789268656,-0.15715656579078488,0.2075364070966506,-0.0553232527603256,0.17138667578537312,-3143.131315815698,4150.728141933012,0.0553232527603256,0.17138667578537312,3143.131315815698,4150.728141933012,110135321.30618206,13.961187214611872,35040,8760.0625,False,True
11,-0.18359142337620918,0.20887614146401517,-0.02737269480855877,0.0850911600954337,-0.15621872856765037,0.20591487791413562,-0.05474538961711754,0.1701823201908674,-3124.3745713530084,4118.297558282713,0.05474538961711754,0.1701823201908674,3124.3745713530084,4118.297558282713,109478084.98020941,13.875570776255708,35040,8760.0625,False,True
12,-0.1846459060111448,0.21010988256738108,-0.027421175890759663,0.08518340030560045,-0.15722473012038515,0.2071927924551924,-0.054842351781519326,0.1703668006112009,-3144.494602407703,4143.855849103847,0.054842351781519326,0.1703668006112009,3144.494602407703,4143.855849103847,110183090.86836591,13.921232876712327,35040,8760.0625,False,True
13,-0.1847758908330242,0.21023076904389595,-0.027239885886935482,0.08509162344275047,-0.1575360049460887,0.207441905674148,-0.054479771773870964,0.17018324688550093,-3150.720098921774,4148.838113482959,0.054479771773870964,0.17018324688550093,3150.720098921774,4148.838113482959,110401232.26621896,13.921232876712327,35040,8760.0625,False,True
14,-0.18612042537541823,0.21239030680215676,-0.02735056701896815,0.08497675186047501,-0.15876985835645005,0.20961712354802658,-0.0547011340379363,0.16995350372095003,-3175.3971671290014,4192.342470960532,0.0547011340379363,0.16995350372095003,3175.3971671290014,4192.342470960532,111265916.73620021,13.961187214611872,35040,8760.0625,False,True
15,-0.2314871391771575,0.2889630254920057,-0.0047050273650963825,0.040935367857998436,-0.2267821118120611,0.2853935830493769,-0.009410054730192765,0.08187073571599687,-4535.642236241222,5707.871660987538,0.009410054730192765,0.08187073571599687,4535.642236241222,5707.871660987538,33962889.06497427,2.430555555555556,7488,1872.0357142857142,False,True
16,-0.1867385484683927,0.21274559073793892,-0.02751600026970769,0.08562810206789016,-0.15922254819868503,0.20991208484683466,-0.05503200053941538,0.17125620413578033,-3184.4509639737007,4198.241696936693,0.05503200053941538,0.17125620413578033,3184.4509639737007,4198.241696936693,111583161.77763847,14.086757990867579,35040,8760.05,False,True
17,-0.18547482695375694,0.21156826161245024,-0.02778482097938956,0.08606390556750634,-0.1576900059743674,0.20842914736360107,-0.05556964195877912,0.1721278111350127,-3153.8001194873473,4168.582947272021,0.05556964195877912,0.1721278111350127,3153.8001194873473,4168.582947272021,110509156.18683665,13.949771689497718,35040,8760.05,False,True
18,-0.18556963469382223,0.21166474049871792,-0.027099627484246238,0.08464296423784977,-0.158470007209576,0.20902685227150608,-0.054199254968492476,0.16928592847569954,-3169.4001441915198,4180.537045430122,0.054199254968492476,0.16928592847569954,3169.4001441915198,4180.537045430122,111055781.05247085,13.938356164383562,35040,8760.0625,False,True
19,-0.1867155684205236,0.21210072620247106,-0.027893819278453635,0.08650105647670982,-0.15882174914206995,0.20881689851467336,-0.05578763855690727,0.17300211295341963,-3176.4349828413983,4176.337970293467,0.05578763855690727,0.17300211295341963,3176.4349828413983,4176.337970293467,111302281.79876259,14.006849315068493,35040,8760.0625,False,True
20,-0.18577378224455013,0.21158747470532024,-0.02783488931272468,0.08614548796289728,-0.15793889293182545,0.2085421034019503,-0.05566977862544936,0.17229097592579456,-3158.777858636509,4170.842068039006,0.05566977862544936,0.17229097592579456,3158.777858636509,4170.842068039006,110683576.16662326,14.052511415525116,35040,8760.0625,False,True
21,-0.18664159890317336,0.21197919734285348,-0.02755171072002027,0.08539636175783764,-0.15908988818315312,0.2091990744891469,-0.05510342144004054,0.1707927235156753,-3181.7977636630626,4183.981489782937,0.05510342144004054,0.1707927235156753,3181.7977636630626,4183.981489782937,111490193.63875371,14.018264840182649,35040,8760.0625,False,True
