episode_num,mean_reward,std_reward,mean_reward_comfort_term,std_reward_comfort_term,mean_reward_energy_term,std_reward_energy_term,mean_abs_comfort_penalty,std_abs_comfort_penalty,mean_abs_energy_penalty,std_abs_energy_penalty,mean_temperature_violation,std_temperature_violation,mean_power_demand,std_power_demand,cumulative_power_demand,comfort_violation_time(%),length(timesteps),time_elapsed(hours),terminated,truncated
2,-0.1892803315393691,0.20840620012590483,-0.018294419845544467,0.06309097130351744,-0.17098591169382468,0.21073500221067012,-0.036588839691088934,0.12618194260703489,-3419.7182338764933,4214.700044213403,0.036588839691088934,0.12618194260703489,3419.7182338764933,4214.700044213403,119826926.91503233,11.409817351598175,35040,8760.03125,False,True
3,-0.18952657716124705,0.20894657121659166,-0.017709720905609825,0.0616231537304926,-0.17181685625563717,0.21160603478098727,-0.03541944181121965,0.1232463074609852,-3436.3371251127437,4232.120695619745,0.03541944181121965,0.1232463074609852,3436.3371251127437,4232.120695619745,120409252.86395054,11.315639269406393,35040,8760.03125,False,True
4,-0.1882019519476047,0.2081817697712746,-0.017410061971090712,0.06114189911706402,-0.17079188997651398,0.2107830076272623,-0.034820123942181425,0.12228379823412804,-3415.83779953028,4215.660152545246,0.034820123942181425,0.12228379823412804,3415.83779953028,4215.660152545246,119690956.495541,11.090182648401827,35040,8760.03125,False,True
5,-0.18858737746072357,0.20815541805355137,-0.01754621967606862,0.061192977961402155,-0.17104115778465498,0.2108046800461127,-0.03509243935213724,0.12238595592280431,-3420.823155693099,4216.093600922254,0.03509243935213724,0.12238595592280431,3420.823155693099,4216.093600922254,119865643.3754862,11.192922374429223,35040,8760.0625,False,True
6,-0.18710825421281188,0.206646671136746,-0.017835365175680556,0.062399432788476386,-0.16927288903713134,0.20905866547511961,-0.03567073035136111,0.12479886557695277,-3385.4577807426267,4181.173309502392,0.03567073035136111,0.12479886557695277,3385.4577807426267,4181.173309502392,118626440.63722163,11.278538812785389,35040,8760.03125,False,True
7,-0.18936551435499938,0.20971929058053362,-0.017847720872724758,0.06258428059214546,-0.17151779348227464,0.21186684114638962,-0.035695441745449516,0.12516856118429093,-3430.3558696454925,4237.336822927793,0.035695441745449516,0.12516856118429093,3430.3558696454925,4237.336822927793,120199669.67237806,11.287100456621005,35040,8760.03125,False,True
8,-0.18874375762726464,0.20785594848752242,-0.017485580706625453,0.06108822844431621,-0.1712581769206392,0.21041745856858052,-0.034971161413250906,0.12217645688863242,-3425.163538412784,4208.349171371609,0.034971161413250906,0.12217645688863242,3425.163538412784,4208.349171371609,120017730.38598394,11.167237442922374,35040,8760.027777777777,False,True
9,-0.18931536930447335,0.20938566473212164,-0.017742859262381727,0.06192096216877716,-0.17157251004209162,0.21176021044945562,-0.035485718524763454,0.12384192433755432,-3431.4502008418312,4235.204208989112,0.035485718524763454,0.12384192433755432,3431.4502008418312,4235.204208989112,120238015.03749777,11.25,35040,8760.027777777777,False,True
10,-0.18946719775202517,0.20851917181733143,-0.018044603875142843,0.062466023631384475,-0.17142259387688233,0.21094282149149973,-0.036089207750285686,0.12493204726276895,-3428.4518775376464,4218.856429829993,0.036089207750285686,0.12493204726276895,3428.4518775376464,4218.856429829993,120132953.78891914,11.401255707762557,35040,8760.03125,False,True
11,-0.1893518854590996,0.20864587612661614,-0.017731761952274522,0.06177756993126276,-0.17162012350682507,0.21123206544877227,-0.035463523904549044,0.12355513986252552,-3432.4024701365015,4224.641308975446,0.035463523904549044,0.12355513986252552,3432.4024701365015,4224.641308975446,120271382.55358301,11.26997716894977,35040,8760.03125,False,True
12,-0.18892066242405392,0.20838902021551,-0.01777221651535922,0.06206480627206544,-0.1711484459086947,0.210748144278392,-0.03554443303071844,0.12412961254413088,-3422.968918173894,4214.96288556784,0.03554443303071844,0.12412961254413088,3422.968918173894,4214.96288556784,119940830.89281325,11.321347031963471,35040,8760.03125,False,True
13,-0.18847321054227287,0.20890384135049894,-0.01787373105003386,0.06213255883573124,-0.17059947949223903,0.21142621467859327,-0.03574746210006772,0.12426511767146248,-3411.9895898447803,4228.524293571865,0.03574746210006772,0.12426511767146248,3411.9895898447803,4228.524293571865,119556115.2281611,11.292808219178083,35040,8760.03125,False,True
