episode_num,mean_reward,std_reward,mean_reward_comfort_term,std_reward_comfort_term,mean_reward_energy_term,std_reward_energy_term,mean_abs_comfort_penalty,std_abs_comfort_penalty,mean_abs_energy_penalty,std_abs_energy_penalty,mean_temperature_violation,std_temperature_violation,mean_power_demand,std_power_demand,cumulative_power_demand,comfort_violation_time(%),length(timesteps),time_elapsed(hours),terminated,truncated
2,-0.1596402649834619,0.12261128749284635,-0.00750849567763599,0.04404596936246176,-0.15213176930582592,0.11946511651026155,-0.01501699135527198,0.08809193872492352,-3042.635386116518,2389.302330205231,0.01501699135527198,0.08809193872492352,3042.635386116518,2389.302330205231,106613943.9295228,5.639269406392694,35040,8760.125,False,True
3,-0.16025699256283188,0.12211748405373689,-0.007550963558078056,0.0440353122738447,-0.1527060290047538,0.11906640870479823,-0.015101927116156112,0.0880706245476894,-3054.1205800950765,2381.328174095964,0.015101927116156112,0.0880706245476894,3054.1205800950765,2381.328174095964,107016385.12653148,5.724885844748859,35040,8760.125,False,True
4,-0.15996054494561224,0.12281546999640493,-0.007644800607063767,0.04454107333933212,-0.15231574433854844,0.11965212998217718,-0.015289601214127533,0.08908214667866424,-3046.3148867709688,2393.0425996435433,0.015289601214127533,0.08908214667866424,3046.3148867709688,2393.0425996435433,106742873.63245474,5.699200913242009,35040,8760.125,False,True
5,-0.1600025906638879,0.12198022568941588,-0.00758876695240947,0.04446611304227384,-0.1524138237114784,0.11877650747883918,-0.01517753390481894,0.08893222608454768,-3048.2764742295685,2375.5301495767835,0.01517753390481894,0.08893222608454768,3048.2764742295685,2375.5301495767835,106811607.65700407,5.702054794520548,35040,8760.125,False,True
6,-0.15987168163618015,0.12278199117603178,-0.007430617016006656,0.043931427231799686,-0.15244106462017348,0.1196680178714239,-0.014861234032013311,0.08786285446359937,-3048.8212924034697,2393.360357428478,0.014861234032013311,0.08786285446359937,3048.8212924034697,2393.360357428478,106830698.08581758,5.605022831050229,35040,8760.125,False,True
7,-0.15937662325261034,0.12290130644737224,-0.007740505427901775,0.04511487547401191,-0.15163611782470857,0.11957769087907336,-0.01548101085580355,0.09022975094802382,-3032.722356494172,2391.553817581467,0.01548101085580355,0.09022975094802382,3032.722356494172,2391.553817581467,106266591.37155579,5.716324200913242,35040,8760.125,False,True
8,-0.1597174126460538,0.12326336327169242,-0.007474205408032327,0.04419420510741521,-0.15224320723802148,0.12008402969703295,-0.014948410816064654,0.08838841021483042,-3044.86414476043,2401.680593940659,0.014948410816064654,0.08838841021483042,3044.86414476043,2401.680593940659,106692039.63240546,5.5964611872146115,35040,8760.083333333334,False,True
9,-0.15994194195503542,0.12263671936326931,-0.007531966957107566,0.043995745690777646,-0.15240997499792788,0.11957105100635797,-0.015063933914215132,0.08799149138155529,-3048.199499958557,2391.4210201271594,0.015063933914215132,0.08799149138155529,3048.199499958557,2391.4210201271594,106808910.47854784,5.69634703196347,35040,8760.083333333334,False,True
10,-0.15936583932418558,0.12234284761449456,-0.007266392389989577,0.04305104499383234,-0.15209944693419597,0.11946010406118804,-0.014532784779979154,0.08610208998766468,-3041.9889386839204,2389.2020812237606,0.014532784779979154,0.08610208998766468,3041.9889386839204,2389.2020812237606,106591292.41148457,5.607876712328768,35040,8760.125,False,True
11,-0.15957311752184417,0.12193777999231516,-0.007462372352664399,0.04399349595480945,-0.15211074516917977,0.11875207340190641,-0.014924744705328797,0.0879869919096189,-3042.2149033835954,2375.041468038128,0.014924744705328797,0.0879869919096189,3042.2149033835954,2375.041468038128,106599210.21456118,5.639269406392694,35040,8760.083333333334,False,True
12,-0.1599191844403339,0.12316184504967255,-0.0073943864613383835,0.04357782768020504,-0.1525247979789955,0.12020917100829237,-0.014788772922676767,0.08715565536041008,-3050.4959595799105,2404.183420165847,0.014788772922676767,0.08715565536041008,3050.4959595799105,2404.183420165847,106889378.42368007,5.633561643835616,35040,8760.125,False,True
13,-0.15960000282162803,0.12310055924298928,-0.0076025662479537294,0.044581872699645614,-0.15199743657367432,0.11990676979657944,-0.015205132495907459,0.08916374539929123,-3039.9487314734865,2398.1353959315884,0.015205132495907459,0.08916374539929123,3039.9487314734865,2398.1353959315884,106519803.55083096,5.67351598173516,35040,8760.125,False,True
14,-0.15953865461468592,0.1229020012194973,-0.007568656659967632,0.04462393023082533,-0.1519699979547183,0.1196212547778568,-0.015137313319935264,0.08924786046165066,-3039.399959094366,2392.425095557136,0.015137313319935264,0.08924786046165066,3039.399959094366,2392.425095557136,106500574.56666657,5.670662100456621,35040,8760.125,False,True
15,-0.15945118385453286,0.12262510166802808,-0.007515448612320896,0.043845192477966734,-0.15193573524221193,0.11956846251822634,-0.015030897224641793,0.08769038495593347,-3038.7147048442384,2391.3692503645266,0.015030897224641793,0.08769038495593347,3038.7147048442384,2391.3692503645266,106476563.25774212,5.773401826484018,35040,8760.125,False,True
16,-0.16027067250587465,0.12248440066788782,-0.00766983394779389,0.04489444962270594,-0.15260083855808074,0.11922846322582628,-0.01533966789558778,0.08978889924541188,-3052.0167711616155,2384.5692645165254,0.01533966789558778,0.08978889924541188,3052.0167711616155,2384.5692645165254,106942667.661503,5.69634703196347,35040,8760.125,False,True
17,-0.1599680842877511,0.12250846440386588,-0.007389329904822949,0.04389668935658963,-0.15257875438292814,0.11941488299196956,-0.014778659809645898,0.08779337871317926,-3051.5750876585626,2388.297659839391,0.014778659809645898,0.08779337871317926,3051.5750876585626,2388.297659839391,106927191.07155603,5.693493150684931,35040,8760.083333333334,False,True
18,-0.15957963497537006,0.1224097399742415,-0.007532355382262884,0.044032775906739326,-0.15204727959310718,0.11935415588115174,-0.015064710764525768,0.08806555181347865,-3040.9455918621434,2387.083117623034,0.015064710764525768,0.08806555181347865,3040.9455918621434,2387.083117623034,106554733.5388495,5.74486301369863,35040,8760.125,False,True
19,-0.1601803111957914,0.12296203977943135,-0.007540886676971814,0.04420070059066148,-0.1526394245188196,0.11977142132427476,-0.015081773353943628,0.08840140118132296,-3052.788490376392,2395.428426485495,0.015081773353943628,0.08840140118132296,3052.788490376392,2395.428426485495,106969708.70278877,5.57648401826484,35040,8760.083333333334,False,True
20,-0.15979081277541368,0.12227410543083551,-0.007556588054295066,0.04417861384747215,-0.15223422472111858,0.11914563562937025,-0.015113176108590132,0.0883572276949443,-3044.6844944223717,2382.9127125874047,0.015113176108590132,0.0883572276949443,3044.6844944223717,2382.9127125874047,106685744.6845599,5.72203196347032,35040,8760.125,False,True
21,-0.15923577299798827,0.12220894524894388,-0.007489947922362038,0.04374792776314308,-0.15174582507562628,0.11919721863204512,-0.014979895844724075,0.08749585552628616,-3034.916501512525,2383.944372640902,0.014979895844724075,0.08749585552628616,3034.916501512525,2383.944372640902,106343474.21299888,5.74486301369863,35040,8760.125,False,True
